JobID,Job Title,Salary Estimate,NumberofReviews,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,CompanyType,Industry,Sector,Revenue,Competitors,Easy Apply,No.OFApplicants
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,$35K-$45K (Glassdoor est.),184,4,"Kaiser Permanente
4.0","Pasadena, CA","Oakland, CA",10000+ employees,1945,Nonprofit Organization,Type 2,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"HCA Healthcare, Dignity Health, Sutter Health",-1,863
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",$35K-$45K (Glassdoor est.),88,3.8,"ZS Associates
3.8","Los Angeles, CA","Evanston, IL",5001 to 10000 employees,1983,Company - Private,Type 9,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,756
604,Financial Data Analyst,$35K-$45K (Glassdoor est.),184,3.8,"Tecolote Research
3.8","El Segundo, CA","Goleta, CA",501 to 1000 employees,1973,Company - Private,Type 6,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,-1,899
605,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),95,3.6,"City National Bank
3.6","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Type 4,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1,691
606,Survey Data Analyst,$35K-$45K (Glassdoor est.),196,4.9,"Cypress HCM
4.9","Los Angeles, CA","Walnut Creek, CA",51 to 200 employees,2005,Company - Private,Type 8,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,792
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,$35K-$45K (Glassdoor est.),153,-1,"Infonex Technologies, Inc.","Pasadena, CA","Santa Clara, CA",Unknown,-1,Company - Public,Type 5,-1,-1,Unknown / Non-Applicable,-1,-1,210
608,Data Analyst Manager,$35K-$45K (Glassdoor est.),162,-1,Oakwood Search - CHURN,"Los Angeles, CA",-1,-1,-1,-1,Type 7,-1,-1,-1,-1,-1,96
609,Enterprise Data Analyst,$35K-$45K (Glassdoor est.),101,3.6,"City National Bank
3.6","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Type 1,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1,518
610,MEDIA DATA ANALYST,$35K-$45K (Glassdoor est.),69,-1,Bloom Ads Global Media Group,"Los Angeles, CA",-1,-1,-1,-1,Type 7,-1,-1,-1,-1,-1,693
611,Data Analyst - Personalization,$35K-$45K (Glassdoor est.),121,3.4,"Internet Brands, Inc.
3.4","Los Angeles, CA","El Segundo, CA",1001 to 5000 employees,1998,Company - Private,Type 3,Internet,Information Technology,$1 to $2 billion (USD),-1,-1,979
612,Data Systems Analyst III,$35K-$45K (Glassdoor est.),60,-1,ESP Legal,"Los Angeles, CA",-1,-1,-1,-1,Type 8,-1,-1,-1,-1,-1,111
613,Data Analyst / Developer,$35K-$45K (Glassdoor est.),70,4.1,"Kforce
4.1","Los Angeles, CA","Tampa, FL",10000+ employees,1966,Company - Public,Type 5,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,824
614,Senior Data Bi Analyst,$35K-$45K (Glassdoor est.),90,3.4,"Apollo Medical Holdings, Inc.
3.4","Alhambra, CA","Sandy, UT",1 to 50 employees,-1,Company - Private,Type 6,-1,-1,Less than $1 million (USD),-1,-1,50
615,"Operations Analyst, Data Governance",$35K-$45K (Glassdoor est.),193,3.7,"Turner Broadcasting
3.7","Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,Type 6,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",-1,455
616,"Analyst, Data (Pharmacy & SQL)",$35K-$45K (Glassdoor est.),55,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 6,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,408
617,"Sr. Business Analyst, Data Science and Analytics",$35K-$45K (Glassdoor est.),67,3,"Beautycounter
3.0","Santa Monica, CA","Santa Monica, CA",201 to 500 employees,2013,Company - Private,Type 1,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1,747
618,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),137,3.5,"Genuent
3.5","Los Angeles, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Type 4,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,626
619,Microsoft Dynamics CRM Data Analyst,$35K-$45K (Glassdoor est.),63,3.7,"IBM
3.7","Los Angeles, CA","Armonk, NY",10000+ employees,1911,Company - Public,Type 6,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1,436
620,"Marketing Data Analyst, Teleflora",$35K-$45K (Glassdoor est.),51,3.6,"The Wonderful Company LLC
3.6","Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1980,Company - Private,Type 8,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,-1,671
621,Senior Customer Data Analyst : 20,$35K-$45K (Glassdoor est.),119,4.6,"Akraya Inc.
4.6","Los Angeles, CA","Santa Clara, CA",51 to 200 employees,2001,Company - Private,Type 3,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Collabera, Artech Information Systems, TEKsystems",-1,212
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,$35K-$45K (Glassdoor est.),160,-1,Catasys Health,"Santa Monica, CA",-1,-1,-1,-1,Type 4,-1,-1,-1,-1,-1,503
623,Senior Data Analyst - User Growth,$35K-$45K (Glassdoor est.),106,3.8,"TikTok
3.8","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Type 7,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,703
624,Automotive Data Analyst,$35K-$45K (Glassdoor est.),97,2.7,"MotorTrend Group
2.7","El Segundo, CA","Los Angeles, CA",501 to 1000 employees,1948,Company - Public,Type 6,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1,-1,927
625,Data Analyst - Product,$35K-$45K (Glassdoor est.),109,3.4,"Mercury Insurance Group
3.4","Brea, CA","Los Angeles, CA",1001 to 5000 employees,1961,Company - Public,Type 8,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1,900
626,"Sr. Analyst, Data",$35K-$45K (Glassdoor est.),192,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 2,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,105
627,Senior Data Insights Analyst,$35K-$45K (Glassdoor est.),100,-1,Endpoint Closing,"El Segundo, CA","El Segundo, CA",1 to 50 employees,-1,Company - Private,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,138
628,Bilingual (Chinese) Data Analyst,$42K-$66K (Glassdoor est.),82,3.7,"Tripalink
3.7","Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Type 7,Real Estate,Real Estate,Unknown / Non-Applicable,-1,-1,66
629,Systems and Data Analyst - SQL,$42K-$66K (Glassdoor est.),126,-1,Ottimo Resources,"Duarte, CA","Carson, CA",Unknown,-1,Company - Public,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,467
630,Data Entry Analyst,$42K-$66K (Glassdoor est.),72,3.6,"Ajilon
3.6","Woodland Hills, CA","Jacksonville, FL",1001 to 5000 employees,1994,Company - Public,Type 4,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,229
631,"Sr Analyst, Data Operations",$42K-$66K (Glassdoor est.),65,5,"WB Technology
5.0","Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,Type 2,-1,-1,Unknown / Non-Applicable,-1,-1,926
632,Data Intelligence Analyst II,$42K-$66K (Glassdoor est.),171,4,"Prosum
4.0","Los Angeles, CA","El Segundo, CA",201 to 500 employees,1996,Company - Private,Type 4,IT Services,Information Technology,$25 to $50 million (USD),"Kforce, NTT DATA, IBM",-1,850
633,Business Analyst / Data Analyst with Financial Industry Experience,$42K-$66K (Glassdoor est.),87,3,"INSPIRE IT Solutions
3.0","Monterey Park, CA","Hyderabad, India",1 to 50 employees,-1,Company - Private,Type 8,-1,-1,Unknown / Non-Applicable,-1,-1,266
634,Sr. Data Analyst,$42K-$66K (Glassdoor est.),171,3.3,"Saicon Consultants Inc
3.3","Burbank, CA","Overland Park, KS",201 to 500 employees,1998,Company - Private,Type 2,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,-1,199
635,Investment Reporting Data Analyst,$42K-$66K (Glassdoor est.),86,-1,"Recruiting Resources, Inc.","El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Type 5,-1,-1,Unknown / Non-Applicable,-1,-1,362
636,Jr. Data Analyst (Jr. DA),$42K-$66K (Glassdoor est.),150,4,"Prime MSO, LLC.
4.0","Glendale, CA","Dayton, OH",1 to 50 employees,-1,Company - Private,Type 7,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,-1,211
637,Sr. Business Data Analyst,$42K-$66K (Glassdoor est.),58,4.9,"KORE1 Technologies
4.9","Santa Monica, CA","Irvine, CA",51 to 200 employees,2005,Company - Private,Type 6,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"CyberCoders, Kforce, ASGN Incorporated",-1,30
638,Data Reporting Analyst,$42K-$66K (Glassdoor est.),140,3.6,"Axelon Services Corporation
3.6","Pasadena, CA","New York, NY",501 to 1000 employees,-1,Company - Private,Type 9,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,242
639,Pricing Data Analyst,$42K-$66K (Glassdoor est.),65,3.6,"City National Corporation
3.6","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Type 9,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1,268
640,Senior Data Engineer & Analyst,$42K-$66K (Glassdoor est.),107,5,"Pddn
5.0","Pasadena, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,Type 3,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),-1,-1,662
641,Principal Data Management Analyst,$42K-$66K (Glassdoor est.),142,3.8,"Northrop Grumman
3.8","Woodland Hills, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Type 4,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,-1,634
642,Sr. Data Analyst,$42K-$66K (Glassdoor est.),55,4.3,"ConsultNet, LLC
4.3","Burbank, CA","South Jordan, UT",201 to 500 employees,1996,Company - Private,Type 8,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,491
643,Sr Data Analyst (DW),$42K-$66K (Glassdoor est.),150,4.2,"Aviana Global Technologies, Inc
4.2","Los Angeles, CA","Brea, CA",1 to 50 employees,1994,Company - Private,Type 7,IT Services,Information Technology,$10 to $25 million (USD),"OpenSymmetry, Perficient, DataClarity",-1,124
644,"Data Analyst, Product",$42K-$66K (Glassdoor est.),167,3.9,"Jam City
3.9","Culver City, CA","Los Angeles, CA",501 to 1000 employees,2010,Company - Private,Type 7,Video Games,Media,Unknown / Non-Applicable,-1,-1,541
645,"Digital Media Data Analyst, Apple TV+",$42K-$66K (Glassdoor est.),58,4.1,"Apple
4.1","Culver City, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Type 1,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",-1,320
646,Data Intelligence Analyst,$42K-$66K (Glassdoor est.),120,3.4,"EMINENT, INC.
3.4","Cerritos, CA","Williamsville, NY",1 to 50 employees,-1,Company - Private,Type 8,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,886
647,"Operations Analyst, Data Governance",$42K-$66K (Glassdoor est.),148,5,"WB Technology
5.0","Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,804
648,Sr. Data Analyst,$42K-$66K (Glassdoor est.),124,3.8,"Dollar Shave Club
3.8","Marina del Rey, CA","Marina del Rey, CA",201 to 500 employees,2011,Company - Private,Type 8,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,-1,-1,460
649,Data Technician/Analyst/Specialist,$42K-$66K (Glassdoor est.),94,3.5,"Leo Tech, LLC
3.5","Long Beach, CA","Singapore, Singapore",51 to 200 employees,-1,Company - Private,Type 8,-1,-1,Unknown / Non-Applicable,-1,-1,765
650,Senior Data Analyst,$42K-$66K (Glassdoor est.),56,3.8,"TikTok
3.8","Culver City, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Type 9,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,681
651,Research Data Analyst,$42K-$66K (Glassdoor est.),191,-1,"Recargo, Inc., makers of PlugShare","El Segundo, CA",-1,-1,-1,-1,Type 2,-1,-1,-1,-1,-1,533
652,【1yr OPT+Intern】Data Analyst 保实习保就业,$42K-$66K (Glassdoor est.),156,-1,Easyfind Company,"Arcadia, CA","Noida, India",1 to 50 employees,-1,Company - Private,Type 3,-1,-1,Unknown / Non-Applicable,-1,-1,804
653,Heightened Standards Data Analyst,$42K-$66K (Glassdoor est.),63,3.6,"City National Bank
3.6","Beverly Hills, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Type 6,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1,200
654,Corporate: Data Analyst,$42K-$66K (Glassdoor est.),66,3.4,"U.S. Auto Parts Network, Inc.
3.4","Torrance, CA","Carson, CA",1001 to 5000 employees,1995,Company - Public,Type 4,Automotive Parts & Accessories Stores,Retail,$100 to $500 million (USD),"AutoZone, eBay, Advance Auto Parts",-1,148
655,Sr Data Analyst,$42K-$66K (Glassdoor est.),185,3.1,"MyLife.com
3.1","Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2002,Company - Private,Type 2,Internet,Information Technology,$10 to $25 million (USD),-1,-1,504
656,Data Analyst I- ON SITE POSITION,$42K-$66K (Glassdoor est.),54,1,"Center for Family Health and Education
1.0","Panorama City, CA","Panorama City, CA",1 to 50 employees,-1,Company - Public,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,604
657,"Analyst, Data",$42K-$66K (Glassdoor est.),53,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 3,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,673
658,Senior Data Analyst,$65K-$81K (Glassdoor est.),147,4.7,"DISQO
4.7","Glendale, CA","Glendale, CA",51 to 200 employees,2014,Company - Private,Type 8,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,284
659,Credit Data Analyst,$65K-$81K (Glassdoor est.),94,-1,Dot 818,"Glendale, CA",-1,-1,-1,-1,Type 5,-1,-1,-1,-1,-1,297
660,Sr Performance Metrics Data Analyst,$65K-$81K (Glassdoor est.),108,-1,BBCN Bank,"Los Angeles, CA",-1,-1,-1,-1,Type 4,-1,-1,-1,-1,-1,232
661,Sr. Data Analyst,$65K-$81K (Glassdoor est.),54,-1,Launch Infotech,"Signal Hill, CA",-1,-1,-1,-1,Type 4,-1,-1,-1,-1,-1,969
662,Junior Data Analyst,$65K-$81K (Glassdoor est.),198,3.9,"Tech Air
3.9","Long Beach, CA","Danbury, CT",201 to 500 employees,1935,Company - Private,Type 3,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,-1,498
663,SENIOR DATA BI ANALYST,$65K-$81K (Glassdoor est.),192,2.5,"Network Medical Management Inc
2.5","Alhambra, CA","Alhambra, CA",501 to 1000 employees,1994,Company - Public,Type 7,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,274
664,Data Analyst - MS Access & Excel,$65K-$81K (Glassdoor est.),54,3.5,"Midcom
3.5","Azusa, CA","Anaheim, CA",51 to 200 employees,1979,Company - Private,Type 2,Consulting,Business Services,$10 to $25 million (USD),-1,-1,665
665,Data Analyst (Asset Management / eDiscovery),$65K-$81K (Glassdoor est.),184,3.8,"Odesus
3.8","Burbank, CA","Los Angeles, CA",51 to 200 employees,2001,Company - Private,Type 9,Consulting,Business Services,$5 to $10 million (USD),-1,-1,297
666,Jr. Data Analyst,$65K-$81K (Glassdoor est.),188,3.8,"Login Consulting Services
3.8","El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Type 5,Consulting,Business Services,$5 to $10 million (USD),-1,-1,276
667,Sr. Data Analyst,$65K-$81K (Glassdoor est.),177,4,"Unilever
4.0","Marina del Rey, CA","London, United Kingdom",10000+ employees,1872,Company - Public,Type 5,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),"Procter & Gamble, Nestlé, Johnson & Johnson",-1,929
668,"Data Analyst - Health, Experienced",$65K-$81K (Glassdoor est.),86,4.1,"Blue Shield of California
4.1","Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Type 9,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,29
669,Product/Data Analyst,$65K-$81K (Glassdoor est.),75,-1,Clear Technology Consulting,"Glendale, CA",-1,-1,-1,-1,Type 9,-1,-1,-1,-1,-1,621
670,Junior Data Analyst,$65K-$81K (Glassdoor est.),165,3.8,"Airgas
3.8","Long Beach, CA","Radnor, PA",10000+ employees,1982,Company - Public,Type 6,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,-1,339
671,Reporting Data Analyst,$65K-$81K (Glassdoor est.),93,3,"Apollo Global Management
3.0","El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Type 1,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,-1,528
672,Data Intelligence Analyst,$65K-$81K (Glassdoor est.),194,3.3,"Revolve
3.3","Cerritos, CA","Cerritos, CA",201 to 500 employees,2003,Company - Public,Type 7,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,-1,363
673,"Data Analyst-Cerritos, CA",$65K-$81K (Glassdoor est.),102,5,"Georgia IT Inc.
5.0","Cerritos, CA","Alpharetta, GA",1 to 50 employees,-1,Company - Private,Type 1,-1,-1,Less than $1 million (USD),-1,-1,706
674,Digital Marketing Data Analyst,$65K-$81K (Glassdoor est.),140,-1,"Recargo, Inc., makers of PlugShare","El Segundo, CA",-1,-1,-1,-1,Type 2,-1,-1,-1,-1,-1,447
675,Sr Performance Metrics Data Analyst,$65K-$81K (Glassdoor est.),132,2.6,"Bank Of Hope
2.6","Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Company - Public,Type 6,-1,-1,$100 to $500 million (USD),-1,-1,442
676,Student Data Compliance Analyst,$65K-$81K (Glassdoor est.),121,3.3,"KIPP SoCal Public Schools
3.3","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2003,Nonprofit Organization,Type 8,K-12 Education,Education,$50 to $100 million (USD),-1,-1,509
677,Data Quality Control Analyst,$65K-$81K (Glassdoor est.),98,3.5,"Genuent
3.5","Glendale, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Type 7,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,371
678,Senior Data Management Analyst,$65K-$81K (Glassdoor est.),99,3,"Apollo Global Management
3.0","El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Type 4,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,-1,820
679,Sr. Data Analyst,$65K-$81K (Glassdoor est.),134,2.8,"SAG-AFTRA Health Plan and SAG-Producers Pension Plan
2.8","Burbank, CA","Burbank, CA",Unknown,-1,Company - Private,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,662
680,Data Analyst HEDIS Star,$65K-$81K (Glassdoor est.),196,3.2,"SCAN Health Plan
3.2","Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Type 3,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1,732
681,Senior Data Analyst,$65K-$81K (Glassdoor est.),172,4.7,"PlayQ
4.7","Santa Monica, CA","Santa Monica, CA",51 to 200 employees,2007,Company - Private,Type 9,Video Games,Media,Unknown / Non-Applicable,-1,-1,945
682,Sr. Data Analyst,$65K-$81K (Glassdoor est.),75,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 8,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,585
683,SAP Master Data Analyst,$65K-$81K (Glassdoor est.),64,2.5,"NetSource, Inc.
2.5","Los Angeles, CA","Bolton, CT",51 to 200 employees,-1,Company - Private,Type 8,Consumer Products Manufacturing,Manufacturing,$10 to $25 million (USD),-1,-1,397
684,Service Operations Data Analyst,$65K-$81K (Glassdoor est.),112,3.3,"Quinn Group, Inc.
3.3","City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Type 2,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,"John Deere, Bobcat Company",-1,450
685,Data Analyst I,$65K-$81K (Glassdoor est.),200,-1,"zz-Tarzana Treatment Centers, Inc.","Northridge, CA",-1,-1,-1,-1,Type 3,-1,-1,-1,-1,-1,458
686,Senior Data Management Analyst,$65K-$81K (Glassdoor est.),176,-1,"Recruiting Resources, Inc.","El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Type 2,-1,-1,Unknown / Non-Applicable,-1,-1,730
687,System and Data Analyst,$113K-$132K (Glassdoor est.),106,2.9,"Pacific Clinics
2.9","Arcadia, CA","Arcadia, CA",501 to 1000 employees,1926,Nonprofit Organization,Type 4,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,796
688,Service Operations Data Analyst,$113K-$132K (Glassdoor est.),50,5,"Quinn Group
5.0","City of Industry, CA","Taipei, Taiwan",51 to 200 employees,-1,Company - Private,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,810
689,SAP Master Data Analyst,$113K-$132K (Glassdoor est.),109,-1,DT Professional Services,"Los Angeles, CA","Canoga Park, CA",1 to 50 employees,2013,Company - Public,Type 7,-1,-1,Less than $1 million (USD),-1,-1,873
690,Business Analyst Asset Data Management,$113K-$132K (Glassdoor est.),74,4,"NRC INC
4.0","Los Angeles, CA","Boca Raton, FL",51 to 200 employees,-1,Company - Private,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,529
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),$113K-$132K (Glassdoor est.),55,5,"LaBine & Associates
5.0","Santa Monica, CA","San Mateo, CA",1 to 50 employees,2013,Company - Private,Type 4,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,367
692,19-0574 - Service Operations Data Analyst,$113K-$132K (Glassdoor est.),130,3.3,"Quinn Company CAT
3.3","City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Type 1,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,"John Deere, Bobcat Company",-1,87
693,Discovery Data Analyst,$113K-$132K (Glassdoor est.),123,2.9,"NTT DATA, Inc.
2.9","Burbank, CA","Singapore, Singapore",201 to 500 employees,-1,Company - Private,Type 9,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1,-1,41
694,"Analyst, Financial Master Data",$113K-$132K (Glassdoor est.),50,5,"WB Technology
5.0","Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,767
695,Data Analyst-HEDIS & Star,$113K-$132K (Glassdoor est.),120,3.2,"SCAN Health Plan
3.2","Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Type 5,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1,483
696,Music Copyright Data Analyst,$113K-$132K (Glassdoor est.),98,3.3,"AppleOne
3.3","Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Type 2,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),"Kelly, Manpower",-1,92
697,Sr. Data Analyst,$113K-$132K (Glassdoor est.),168,3.8,"Login Consulting Services
3.8","El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Type 5,Consulting,Business Services,$5 to $10 million (USD),-1,-1,58
698,Sr. Data Analyst,$113K-$132K (Glassdoor est.),168,-1,Shapestone Inc.,"Burbank, CA",-1,-1,-1,-1,Type 1,-1,-1,-1,-1,-1,141
699,Sr. Data Governance Analyst,$113K-$132K (Glassdoor est.),138,4,"Lorven Technologies Inc
4.0","Arcadia, CA","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Type 4,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,522
700,"Data Analyst - Health, Senior",$113K-$132K (Glassdoor est.),81,4.1,"Blue Shield of California
4.1","Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Type 1,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,807
701,Data Analyst-HEDIS & Star,$113K-$132K (Glassdoor est.),106,-1,SCAN Healthplan,"Long Beach, CA",-1,-1,-1,-1,Type 2,-1,-1,-1,-1,-1,476
702,Data Entry Clerk and Analyst - Financial,$113K-$132K (Glassdoor est.),191,2.8,"Information Technology Partners
2.8","Burbank, CA","Chicago, IL",51 to 200 employees,1991,Company - Private,Type 4,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,588
703,"Analyst, Financial Master Data",$113K-$132K (Glassdoor est.),83,3.9,"Warner Bros. Entertainment
3.9","Burbank, CA","Burbank, CA",5001 to 10000 employees,1923,Company - Public,Type 8,Motion Picture Production & Distribution,Media,$10+ billion (USD),NBCUniversal,-1,203
704,Senior Clinical Data Analyst,$113K-$132K (Glassdoor est.),146,3.4,"Providence Health & Services
3.4","Gardena, CA","Renton, WA",10000+ employees,1855,Nonprofit Organization,Type 4,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,48
705,Sr. Data Analyst (Pharmacy),$113K-$132K (Glassdoor est.),195,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 3,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,439
706,"Sr Analyst, Data",$113K-$132K (Glassdoor est.),68,3.1,"Molina Healthcare
3.1","Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Type 9,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,521
707,Systems and Data Analyst,$113K-$132K (Glassdoor est.),115,2.4,"To Help Everyone Health & Wellness Centers
2.4","Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Nonprofit Organization,Type 5,-1,-1,Unknown / Non-Applicable,-1,-1,153
708,"Analyst, Financial Master Data",$113K-$132K (Glassdoor est.),103,3.7,"Turner Broadcasting
3.7","Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,Type 5,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",-1,239
709,Copyright Data Analyst,$113K-$132K (Glassdoor est.),88,3.3,"AppleOne
3.3","Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Type 1,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),"Kelly, Manpower",-1,726
710,LIMS Master Data Analyst,$113K-$132K (Glassdoor est.),125,4.6,"USDM Life Sciences
4.6","Santa Monica, CA","Santa Barbara, CA",201 to 500 employees,1999,Company - Private,Type 4,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,122
